table_id,node,actual_disk_read_throughput,actual_disk_write_throughput,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:37:20 +0000 UTC,126 KiB/sec,37.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:35:30 +0000 UTC,135 KiB/sec,96.5 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:30 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:37:40 +0000 UTC,257 KiB/sec,36.7 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:36:50 +0000 UTC,31.6 KiB/sec,66.6 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:50 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:37:40 +0000 UTC,29.6 KiB/sec,36.9 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:39:10 +0000 UTC,29.2 KiB/sec,56.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:39:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:36:00 +0000 UTC,174 KiB/sec,48.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:37:10 +0000 UTC,29.3 KiB/sec,34.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:38:10 +0000 UTC,29.3 KiB/sec,42.4 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:35:10 +0000 UTC,205 KiB/sec,38.6 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:38:40 +0000 UTC,29.6 KiB/sec,50.2 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:36:50 +0000 UTC,135 KiB/sec,46.9 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:50 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:38:00 +0000 UTC,30.3 KiB/sec,41.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:35:20 +0000 UTC,131 KiB/sec,41.4 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:38:50 +0000 UTC,32.0 KiB/sec,72.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:50 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:39:00 +0000 UTC,131 KiB/sec,38.4 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:39:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:34:50 +0000 UTC,137 KiB/sec,48.4 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:34:50 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:37:00 +0000 UTC,178 KiB/sec,38.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:35:00 +0000 UTC,141 KiB/sec,39.5 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:34:20 +0000 UTC,28.3 KiB/sec,28.7 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:34:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:37:30 +0000 UTC,134 KiB/sec,96.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:30 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:37:00 +0000 UTC,43.9 KiB/sec,45.1 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:38:00 +0000 UTC,128 KiB/sec,36.6 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:36:40 +0000 UTC,279 KiB/sec,34.2 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:36:20 +0000 UTC,74.7 KiB/sec,33.0 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:38:20 +0000 UTC,37.9 KiB/sec,36.1 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:34:40 +0000 UTC,260 KiB/sec,37.2 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:34:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:34:30 +0000 UTC,25.4 KiB/sec,73.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:34:30 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:38:20 +0000 UTC,125 KiB/sec,38.6 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:37:30 +0000 UTC,30.1 KiB/sec,73.7 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:30 +0000 UTC
